"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu[31]",-3.56509719520372,0.0612818957995149,-3.68461151945101,-3.60741203144545,-3.56536567707821,-3.52528795561136,-3.44255894833083,1.00086530822911,3000
"mu[32]",-3.82241774081945,0.0652321707328122,-3.94909894822309,-3.86604912725207,-3.82104115676847,-3.77908578729632,-3.69175168114457,1.00073744225681,3000
"mu[33]",-4.08615353126732,0.0690227877134811,-4.21986561007266,-4.13432876995747,-4.08706512504958,-4.03950010122523,-3.95203051561454,1.00052666161005,3000
"mu[34]",-4.32118276307559,0.0770944023714845,-4.47361464366019,-4.37215194123939,-4.32211293511703,-4.2696795073709,-4.16965073818211,1.00098469432419,3000
"mu[35]",-6.45512099928746,0.214411482997624,-6.88605997915901,-6.59796153134992,-6.45474926002914,-6.30820474757091,-6.03639513110269,1.00062877479717,3000
"mu[36]",-5.57360035501906,0.203163242905532,-5.99347259353713,-5.70656151728412,-5.57553221352876,-5.43685250680604,-5.18663485465502,1.00115039722099,3000
"mu[37]",-4.83777654790275,0.197534766082403,-5.24195600240991,-4.97052942549115,-4.83327791179923,-4.70509302592201,-4.46650279334908,1.00075352141706,3000
"mu[38]",-4.56226642212192,0.196260935997281,-4.95183752752928,-4.69559062579975,-4.55850162304391,-4.43058707825805,-4.19244309863856,1.00092420708701,3000
"mu[39]",-4.65691854003674,0.196133965593984,-5.06012780951016,-4.78733007820542,-4.65318874583736,-4.52487622276146,-4.28755474339854,1.00091159965455,3000
"mu[40]",-4.81911068784579,0.197055118156672,-5.21751754835059,-4.94927487492054,-4.81659154566378,-4.68514290133492,-4.44231890783818,1.00098645494353,3000
"mu[41]",-5.31453696986131,0.200143012168104,-5.72303118623378,-5.44583808585985,-5.31378049796435,-5.17931466738831,-4.92394817432312,1.00083019513728,3000
"mu[42]",-5.75919382614494,0.207363854362895,-6.16797011375087,-5.89970262330422,-5.75740998267751,-5.61971388039785,-5.35734155422702,1.00091162156464,3000
"mu[43]",-5.82427357289957,0.206652178076448,-6.24235442035007,-5.96115337603,-5.82284812371797,-5.68033788984606,-5.42575617564135,1.00119883153743,2900
"mu[44]",-5.46022110855733,0.170493019787003,-5.80039074523431,-5.57512466018123,-5.46169232204021,-5.34484053332356,-5.13443171363765,1.00180410991203,1500
"mu[45]",-4.14904538061069,0.138526471280749,-4.41402505583042,-4.24198936759777,-4.14948794127867,-4.05668756303212,-3.87818873505752,1.0012244605059,2800
"mu[46]",-3.48077157314532,0.130975680520283,-3.7377144159883,-3.57041968303957,-3.48392546169078,-3.38992358443357,-3.21852717554152,1.00102333634183,3000
"mu[47]",-3.08126900208987,0.131496477854614,-3.33419196335696,-3.16748494796539,-3.08200074310941,-2.99452907588456,-2.821429328284,1.00107233084599,3000
"mu[48]",-3.194600923733,0.129224835594022,-3.44272948702855,-3.28227389682742,-3.1965972420036,-3.11301499880701,-2.93674884782917,1.00125135693464,2700
"mu[49]",-3.62828396679569,0.133590354961471,-3.89514411209044,-3.71720196630191,-3.6272117736934,-3.54044245317305,-3.37128841449494,1.00083479223248,3000
"mu[50]",-3.92613489190307,0.133392782383708,-4.18507443990578,-4.01550779030672,-3.9265009397454,-3.83458715580046,-3.66320387125104,1.00079560031743,3000
"mu[51]",-4.16675168628434,0.133354744668788,-4.425201773874,-4.2554669445838,-4.16883486460891,-4.0765445098896,-3.90270936492548,1.00111944481863,3000
"mu[52]",-4.37168260015838,0.141524698906151,-4.65136623669021,-4.46784311104229,-4.36994726661004,-4.27923646017868,-4.09602491845383,1.00148151752876,2700
"mu[53]",-5.08847438255912,0.300090708245468,-5.70112380146676,-5.2816837059959,-5.08747783927595,-4.88709812801509,-4.51157140653792,1.00195011724136,1400
"mu[54]",-3.29713775924337,0.290089459118466,-3.88344337578634,-3.48594921936737,-3.2919516735649,-3.10187651285034,-2.74033329805935,1.00137006865946,2300
"mu[55]",-3.12657308715592,0.285290433072094,-3.70601629440574,-3.32031732363818,-3.12235452864001,-2.93278144128289,-2.57925580442546,1.00122459433509,2800
"mu[56]",-3.38123272811175,0.282381210294731,-3.9516159139074,-3.57268873189136,-3.37397266428141,-3.1921260051843,-2.83504229882561,1.00126991932863,2600
"mu[57]",-3.2290107749801,0.285266135447712,-3.79770093020229,-3.41913607855087,-3.22248122969047,-3.03344533289962,-2.67849379257796,1.00117299603092,3000
"mu[58]",-4.00997797726149,0.287043620960753,-4.59656672264444,-4.19670935583871,-4.00660795754951,-3.81450217798826,-3.44825623204718,1.00127460742638,2600
"mu[59]",-4.22895570065768,0.289794990065743,-4.82133405766103,-4.42233691549127,-4.22405129726625,-4.03180692777699,-3.66921512341213,1.0011885290593,2900
"mu[60]",-5.71449208726144,0.124474998318159,-5.95290082669767,-5.79820614472109,-5.71518361149636,-5.63193290753824,-5.46695464501267,1.0025778473171,960
"mu[61]",-5.22024566058803,0.106135095508203,-5.42645218319261,-5.29086566506015,-5.22356677100672,-5.15008084165961,-5.00698786439306,1.00055566550252,3000
"mu[62]",-4.65099708446842,0.0958463139961939,-4.83507574407623,-4.71722241150191,-4.6508904509884,-4.58723801113432,-4.46004681441595,1.00124325401663,2700
"mu[63]",-4.42414116996874,0.0948212334010563,-4.60966044982229,-4.48744217196784,-4.42604216803346,-4.35988770218046,-4.233951129742,1.00084809229713,3000
"mu[64]",-4.39579229826115,0.0965777769772283,-4.58229761234543,-4.4622611723983,-4.39680479232484,-4.333564127057,-4.20756765783519,1.00093714611665,3000
"mu[65]",-4.47898196084709,0.0970619822420036,-4.66236910246809,-4.54419852881155,-4.47827438017986,-4.41404434329937,-4.28538460133384,1.00080999115893,3000
"mu[66]",-4.76487050981239,0.0996704415742559,-4.96025896840143,-4.83120051737526,-4.76590428915126,-4.69814645079289,-4.56887556136332,1.00108470675778,3000
"mu[67]",-5.04353903040067,0.102919572588421,-5.24338765448765,-5.11128189864796,-5.04587206234914,-4.97676114585689,-4.84043131500782,1.00080215988309,3000
"mu[68]",-5.0779819556354,0.107968025263411,-5.29469108836622,-5.14939148197498,-5.07904766708948,-5.00746942347506,-4.85692948156653,1.00052394031104,3000
"mu[69]",-5.19181277457921,0.123815535558064,-5.43050937164932,-5.27554552886128,-5.19422866362378,-5.10700839051745,-4.94810917254113,1.0007482441973,3000
"mu[70]",-4.74394403821779,0.108737877856158,-4.95918443308677,-4.81858210048574,-4.74368945991039,-4.67025342367185,-4.52947180664217,1.00130988881569,2500
"mu[71]",-4.0877056092023,0.0998938336115005,-4.28235864215514,-4.15416327077992,-4.08740832512251,-4.01987678045937,-3.88762399919341,1.00066311862698,3000
"mu[72]",-3.6564668534267,0.0951427319147278,-3.84272492371782,-3.72068171688317,-3.65742695203496,-3.59248375837574,-3.46995078086545,1.00094430327289,3000
"mu[73]",-3.6535814973332,0.095947577033406,-3.84105715822092,-3.71736431288948,-3.65332784263793,-3.59060799247368,-3.45942168884951,1.00084665676733,3000
"mu[74]",-3.73576654310643,0.0997639090048052,-3.93735477212988,-3.80275150887995,-3.73493358828621,-3.67130906424455,-3.53803627250649,1.00127778777489,2600
"mu[75]",-4.14201053503834,0.101180680107925,-4.33629594802731,-4.2094734694423,-4.14466656550019,-4.07390640183851,-3.94410578924277,1.00097012865319,3000
"mu[76]",-4.34828070711495,0.102630706530623,-4.55648964681003,-4.41865211196015,-4.34899145803627,-4.27819847722488,-4.15170706923034,1.0008887522672,3000
"mu[77]",-4.5537350490864,0.107892766796804,-4.77642340861259,-4.62431869034478,-4.55233680156846,-4.48122203858817,-4.34610353347469,1.00141557982272,2200
"mu[78]",-4.92139830888976,0.662302888301848,-6.19831596791509,-5.3793136340032,-4.91520927041011,-4.45598309720373,-3.6113212409109,1.00105946029905,3000
"mu[79]",-5.68542152142263,0.662078465450013,-6.97907267130475,-6.13271363800393,-5.67886009244958,-5.20603753499848,-4.40482057203561,1.001129028987,3000
"mu[80]",-5.90743866797304,0.664669348738796,-7.20768250144678,-6.36473702601078,-5.89648712219191,-5.4335293033057,-4.61804688446664,1.00104581172613,3000
"mu[81]",-5.70134199188177,0.664867767495611,-6.97280708864745,-6.16167084138039,-5.69302728147917,-5.23687325161351,-4.39644783086255,1.00104772605364,3000
"mu[82]",-3.29023530388358,0.533064857141661,-4.32763943115771,-3.65757190333352,-3.28984822926315,-2.92843245266214,-2.24884816330158,1.00106609149744,3000
"mu[83]",-4.6627241514503,0.517823530550217,-5.65454433654957,-5.02107095281037,-4.6635727984794,-4.30031748982874,-3.65505044390989,1.00100120164998,3000
"mu[84]",-4.31407913556287,0.518441956033307,-5.29890800666755,-4.67888123340718,-4.31572926596233,-3.96044837335089,-3.3054019550314,1.00115904628607,3000
"mu[85]",-5.1382868353534,0.113242137898482,-5.35994127620263,-5.21481070734326,-5.14005270555202,-5.06479837942282,-4.91318131397357,1.0014985223812,2000
"mu[86]",-4.49255189844718,0.0948647175225654,-4.678062083837,-4.55659875649113,-4.49313330402247,-4.42986104329392,-4.30147906493842,1.00117974500981,2900
"mu[87]",-3.87054592398442,0.08569221312802,-4.03972184490366,-3.9278254452982,-3.87088509273508,-3.8128406823804,-3.6992549796358,1.00058565932074,3000
"mu[88]",-3.5631382493807,0.0810554518490861,-3.72393123088893,-3.61810281020982,-3.56285101244949,-3.50815168088817,-3.40265616734319,1.0008352708661,3000
"mu[89]",-3.59797696344696,0.0819145599546871,-3.76051334970932,-3.65274912845248,-3.59490720167027,-3.54392262065105,-3.43849897361723,1.00089957824276,3000
"mu[90]",-3.627394381954,0.084509812169708,-3.78788855312522,-3.68329967325494,-3.62793079776619,-3.5719134310951,-3.45886221314176,1.00075914018077,3000
"mu[91]",-3.91072420355327,0.0875410111116012,-4.08168888486377,-3.96951520677273,-3.91310257336308,-3.8517357761568,-3.73788928887674,1.00055165911674,3000
"mu[92]",-4.07013377181241,0.0898199363524366,-4.24304416156751,-4.13147520962896,-4.07240522303802,-4.00796547934059,-3.89102162125262,1.00067480613227,3000
"mu[93]",-4.27388812096759,0.0961303882625281,-4.45902162418385,-4.33701319376378,-4.27449279347942,-4.20916228257671,-4.08266599054113,1.00114700900656,3000
"mu[94]",-4.9014563344949,0.154748533521107,-5.20429280232573,-5.00432622336373,-4.90045619531738,-4.79863470886444,-4.59204416199432,1.00102339322217,3000
"mu[95]",-4.39336275062425,0.1364547971265,-4.66529826860786,-4.48092229324114,-4.39374888429738,-4.30150528915743,-4.13758081317798,1.00077203772784,3000
"mu[96]",-3.97009165746771,0.131341488827006,-4.2344956995936,-4.05369227213447,-3.96784905252173,-3.88160474004885,-3.71751922939614,1.00053539339322,3000
"mu[97]",-3.84841952418104,0.130706952933094,-4.10937977525541,-3.93320892634424,-3.84809526692182,-3.75950826366556,-3.59740259802114,1.00064693101133,3000
